name,src
,https://www.theatlantic.com/culture/archive/2022/03/after-yang-colin-farrell-kogonada-interview/627034/
‘I Imagined a Future That Was Neither Utopian nor Dystopian’,https://www.theatlantic.com/culture/archive/2022/03/after-yang-colin-farrell-kogonada-interview/627034/
David Sims,https://www.theatlantic.com/author/david-sims/
,https://www.theatlantic.com/magazine/archive/2022/04/jack-kerouac-neal-cassady-friendship/622829/
The Story of Jack and Neal,https://www.theatlantic.com/magazine/archive/2022/04/jack-kerouac-neal-cassady-friendship/622829/
James Parker,https://www.theatlantic.com/author/james-parker/
,https://www.theatlantic.com/photo/2022/03/photos-of-the-week-mud-bath-sled-dogs-ukraine-crisis/627033/
"Photos of the Week: Mud Bath, Sled Dogs, Ukraine Crisis",https://www.theatlantic.com/photo/2022/03/photos-of-the-week-mud-bath-sled-dogs-ukraine-crisis/627033/
Alan Taylor,https://www.theatlantic.com/author/alan-taylor/
,https://www.theatlantic.com/family/archive/2022/03/sisterhood-between-single-mothers/627027/
The Friend Who Taught Her She Could Make It as a Single Mom,https://www.theatlantic.com/family/archive/2022/03/sisterhood-between-single-mothers/627027/
Julie Beck,https://www.theatlantic.com/author/julie-beck/
